Week,Population,ID,Treatment,Conductance,Chlorophyll,Alpha,ETRmax,Ek,NPQmax,Fv/Fm,Phase
2,Koko,K22A,C,845.4,36.7,0.19,182.764,963.295,0.992,0.611,Treatment
2,Koko,K23A,C,724.7,29,0.188,185.601,986.436,1.248,0.627,Treatment
2,Koko,K24A,C,773.7,26.6,0.184,182.286,993.041,1.25,0.604,Treatment
2,Koko,K37A,PD,754.9,24.6,0.179,87.043,485.142,0.634,0.668,Treatment
2,Koko,K38A,PD,567.6,32,0.205,127.129,620.328,0.537,0.675,Treatment
2,Koko,K39A,PD,601,30.2,0.183,136.429,745.472,1.454,0.611,Treatment
2,Koko,K40A,PD,553.9,32.5,0.156,81.397,521.614,1.065,0.668,Treatment
2,Koko,K41A,PD,683.6,26.9,0.181,169.899,941.098,0.658,0.688,Treatment
2,Koko,K42A,PD,628.2,26.3,0.206,169.957,824.046,0.759,0.653,Treatment
2,Koko,K43A,PD,760,26.1,0.179,136.897,765.453,1.049,0.66,Treatment
2,Koko,K44A,PD,722.3,32.9,0.211,149.372,706.541,0.913,0.69,Treatment
2,Koko,K45A,PD,544.7,29.6,0.196,127.436,650.595,1.181,0.667,Treatment
2,Koko,K46A,PD,721.5,30,0.191,187.918,983.424,0.749,0.619,Treatment
2,Koko,K47A,PD,842.3,19.3,0.177,151.071,851.766,1.185,0.609,Treatment
2,Koko,K48A,PD,288.5,31.7,0.182,144.591,792.295,0.887,0.624,Treatment
3,Koko,K13A,C,830.9,33.4,0.197,171.536,871.948,1.017,0.675,Treatment
3,Koko,K14A,C,857.8,29.7,0.183,151.593,828.704,1.256,0.626,Treatment
3,Koko,K15A,C,770,23.9,0.153,135.544,885.651,1.201,0.608,Treatment
3,Koko,K16A,C,910.5,34.2,0.18,136.767,759.429,1.295,0.608,Treatment
3,Koko,K17A,C,836.4,31.3,0.179,102.501,573.702,1.341,0.646,Treatment
3,Koko,K18A,C,740.3,21.8,0.182,173.312,950.804,1.05,0.636,Treatment
3,Koko,K19A,C,781.6,24,0.18,116.754,647.741,0.796,0.57,Treatment
3,Koko,K20A,C,815,22.6,0.179,132.395,737.887,1.125,0.608,Treatment
3,Koko,K21A,C,917.6,22.5,0.157,102.933,655.557,1.049,0.51,Treatment
3,Koko,K22A,C,844,32.9,0.171,155.346,906.36,1.072,0.589,Treatment
3,Koko,K23A,C,870.5,29.7,0.184,153.012,832.636,1.24,0.64,Treatment
3,Koko,K24A,C,809.2,31.2,0.196,181.522,923.997,0.865,0.661,Treatment
3,Koko,K37A,PD,578,29.7,0.156,84.962,544.964,1.121,0.71,Treatment
3,Koko,K38A,PD,593.2,38.6,0.156,78.854,504.041,0.657,0.7,Treatment
